City,PM2.5
"Visalia-Porterville, CA",15.7
"Hanford-Corcoran, CA",13.65
"Modesto, CA",12.15
"Klamath Falls, OR",12
"Fresno, CA",11.86
"Bakersfield, CA",11.72
"Yuba City, CA",11.2
"Brownsville-Harlingen, TX",10.9
"Madera, CA",10.9
"Fairbanks, AK",10.6
"Medford, OR",10.5
"Houston-The Woodlands-Sugar Land, TX",10.4
"Kalamazoo-Portage, MI",10.4
"Stockton-Lodi, CA",10.35
"Los Angeles-Long Beach-Anaheim, CA",10.3
"Texarkana, TX-AR",10.3
"Detroit-Warren-Dearborn, MI",10.27
"Riverside-San Bernardino-Ontario, CA",10.2375
"El Centro, CA",10.2
"Grants Pass, OR",10.2
"Indianapolis-Carmel-Anderson, IN",10.1375
"Merced, CA",10.1
"Kingsville, TX",9.9
"Yakima, WA",9.9
"Ukiah, CA",9.75
"Laredo, TX",9.7
"Wichita, KS",9.7
"Little Rock-North Little Rock-Conway, AR",9.65
"McAllen-Edinburg-Mission, TX",9.6
"Shreveport-Bossier City, LA",9.6
"Cincinnati, OH-KY-IN",9.58
"Marshall, TX",9.5
"Terre Haute, IN",9.5
"Chicago-Naperville-Elgin, IL-IN-WI",9.48
"Cadillac, MI",9.4
"Nogales, AZ",9.4
"South Bend-Mishawaka, IN-MI",9.4
"Columbus, GA-AL",9.333333333
"Ann Arbor, MI",9.3
"Canton-Massillon, OH",9.3
"El Dorado, AR",9.3
"Grand Rapids-Wyoming, MI",9.3
"York-Hanover, PA",9.3
"Evansville, IN-KY",9.25
"Austin-Round Rock, TX",9.2
"Chattanooga, TN-GA",9.2
"Fargo, ND-MN",9.2
"Hattiesburg, MS",9.2
"Oklahoma City, OK",9.2
"Lancaster, PA",9.15
"Louisville/Jefferson County, KY-IN",9.1
"Middlesborough, KY",9.1
"Spokane-Spokane Valley, WA",9.1
"Atlanta-Sandy Springs-Roswell, GA",9.06
"Eugene, OR",9.05
"Jackson, MS",9.05
"Milwaukee-Waukesha-West Allis, WI",9.033333333
"Albany, GA",9
"Bloomington, IL",9
"Cleveland-Elyria, OH",9
"Columbus, OH",9
"Dayton, OH",9
"El Paso, TX",9
"Ponca City, OK",9
"Rockford, IL",9
"St. Louis, MO-IL",8.958333333
"Dallas-Fort Worth-Arlington, TX",8.95
"Birmingham-Hoover, AL",8.94
"Boise City, ID",8.9
"Chico, CA",8.9
"Elkhart-Goshen, IN",8.9
"Jasper, IN",8.9
"Lansing-East Lansing, MI",8.9
"Macon, GA",8.9
"Springfield, IL",8.9
"Augusta-Richmond County, GA-SC",8.9
"Pittsburgh, PA",8.883333333
"Harrisburg-Carlisle, PA",8.85
"Weirton-Steubenville, WV-OH",8.85
"Decatur, IL",8.8
"Johnstown, PA",8.8
"Springfield, OH",8.8
"Tulsa, OK",8.8
"Davenport-Moline-Rock Island, IA-IL",8.8
"Clinton, IA",8.75
"Toledo, OH",8.75
"Athens-Clarke County, GA",8.7
"Gettysburg, PA",8.7
"Pensacola-Ferry Pass-Brent, FL",8.7
"Warner Robins, GA",8.7
"Youngstown-Warren-Boardman, OH-PA",8.7
"Baton Rouge, LA",8.633333333
"Akron, OH",8.6
"Cedar Rapids, IA",8.6
